what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399854287927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854295342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854298140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1399854304676
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1399854304978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399854308419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399854319738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399854321552
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854335764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854339688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854345435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854350900
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1399854361065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854361638
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854361855
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854361952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854369231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854371561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854374159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854376572
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854452667
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1399854453563
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1399854453649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854473657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854474866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854475332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854494817
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854497309
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1399854498065
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854498153
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854506619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854513295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854519941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399854520007
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399854522241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399854525804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399854540064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854549601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854551168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854561883
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854563192
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1399854563379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854563474
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399854563482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399854563482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854573757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854575349
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399854575355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399854575355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854576667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854621456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854645922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854648404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854660752
error,log,,,"Failed to load properties file for project 'Example_one'",1399854792427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854792622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854824904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854827539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854847463
error,log,,,"Failed to load properties file for project 'Example2'",1399854904208
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1399854905985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399854906064
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854906210
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399854906319
